created_at,entry_id,field1,field2
2018-12-12 10:32:37 UTC,21,0,0
2018-12-12 10:33:05 UTC,22,0,0
2018-12-12 10:33:23 UTC,23,0,0
2018-12-12 10:33:41 UTC,24,0,0
2018-12-12 10:33:59 UTC,25,0,0
2018-12-12 10:34:17 UTC,26,0,0
2018-12-12 10:34:35 UTC,27,0,0
2018-12-12 10:34:53 UTC,28,0,0
2018-12-12 10:35:12 UTC,29,0,0
2018-12-12 10:35:56 UTC,30,0,0
2018-12-12 10:36:14 UTC,31,0,0
2018-12-12 10:36:32 UTC,32,0,0
2018-12-12 10:36:50 UTC,33,0,0
2018-12-12 10:38:56 UTC,34,48,26
2018-12-12 10:39:14 UTC,35,45,26
2018-12-12 10:39:32 UTC,36,44,26
2018-12-12 10:39:50 UTC,37,45,26
2018-12-12 10:40:08 UTC,38,43,26
2018-12-12 10:40:26 UTC,39,44,26
2018-12-12 10:40:45 UTC,40,45,26
2018-12-12 10:41:03 UTC,41,48,26
2018-12-12 10:41:21 UTC,42,44,26
2018-12-12 10:41:39 UTC,43,43,26
2018-12-12 10:41:57 UTC,44,44,26
2018-12-12 10:42:15 UTC,45,45,26
2018-12-12 10:42:33 UTC,46,45,26
2018-12-12 10:42:51 UTC,47,44,26
2018-12-12 10:43:10 UTC,48,42,26
2018-12-12 10:43:28 UTC,49,41,25
2018-12-12 10:43:46 UTC,50,43,25
2018-12-12 10:44:04 UTC,51,46,25
2018-12-12 10:44:22 UTC,52,48,26
2018-12-12 10:44:40 UTC,53,46,26
2018-12-12 10:44:58 UTC,54,44,26
2018-12-12 10:45:16 UTC,55,43,26
2018-12-12 10:45:35 UTC,56,42,26
2018-12-12 10:45:53 UTC,57,46,26
2018-12-12 10:46:11 UTC,58,43,26
2018-12-12 10:46:29 UTC,59,43,26
2018-12-12 10:46:47 UTC,60,43,26
2018-12-12 10:47:05 UTC,61,46,26
2018-12-12 10:47:23 UTC,62,47,26
2018-12-12 10:47:41 UTC,63,46,26
2018-12-12 10:48:00 UTC,64,45,26
2018-12-12 10:48:18 UTC,65,45,26
2018-12-12 10:48:36 UTC,66,43,26
2018-12-12 10:48:54 UTC,67,42,26
2018-12-12 10:49:12 UTC,68,42,26
2018-12-12 10:49:30 UTC,69,42,26
2018-12-12 10:49:48 UTC,70,42,26
2018-12-12 10:50:06 UTC,71,42,26
2018-12-12 10:50:25 UTC,72,41,25
2018-12-12 10:50:43 UTC,73,41,25
2018-12-12 10:51:01 UTC,74,41,25
2018-12-12 10:51:19 UTC,75,41,25
2018-12-12 10:51:37 UTC,76,41,25
2018-12-12 10:51:55 UTC,77,43,25
2018-12-12 10:52:13 UTC,78,44,25
2018-12-12 10:52:31 UTC,79,43,25
2018-12-12 10:52:50 UTC,80,42,25
2018-12-12 10:53:08 UTC,81,45,26
2018-12-12 10:53:26 UTC,82,43,26
2018-12-12 10:53:44 UTC,83,42,26
2018-12-12 10:54:02 UTC,84,45,26
2018-12-12 10:54:20 UTC,85,45,26
2018-12-12 10:54:38 UTC,86,44,26
2018-12-12 10:54:56 UTC,87,47,26
2018-12-12 10:55:15 UTC,88,44,26
2018-12-12 10:55:33 UTC,89,43,26
2018-12-12 10:55:51 UTC,90,45,26
2018-12-12 10:56:09 UTC,91,43,26
2018-12-12 10:56:27 UTC,92,44,26
2018-12-12 10:56:45 UTC,93,44,26
